payload,route,required_access,required_state,required_params,blocked_reason,not_claimed
mode-command,fc-direct,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,fc-direct,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,fc-direct,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,fc-direct,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,mavproxy-udp,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,mavproxy-udp,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,mavproxy-udp,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,mavproxy-udp,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,companion,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,companion,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,companion,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,companion,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
